plant_id,country,group,plant_name,city,brand,original_current_url,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
DE_BMW_REGENSBURG,Germany,BMW Group,BMW Group Plant Regensburg,Regensburg,bmw,https://www.bmwgroup-werke.com/regensburg/de.html,10000.0,,8000.0,,,,,,7800.0,,8000.0,,,,,9000.0,,,9000.0,
DE_BMW_WACKERSDORF,Germany,BMW Group,BMW Group Plant Wackersdorf,Wackersdorf,bmw,https://www.bmwgroup-werke.com/wackersdorf/de.html,,,,,,,,,7800.0,,,,,,,,,,9250.0,9250.0
DE_MERCEDES_AFFALTERBACH,Germany,Mercedes-Benz,Mercedes-Benz Plant Affalterbach (AMG),Affalterbach,mercedes,https://group.mercedes-benz.com/unternehmen/standorte/produktionsnetzwerk-affalterbach.html,,,,,,,,,,,,,,,,2400.0,2600.0,2600.0,2500.0,
DE_MERCEDES_BERLIN,Germany,Mercedes-Benz,Mercedes-Benz Plant Berlin,Berlin,mercedes,https://group.mercedes-benz.com/unternehmen/standorte/produktionsnetzwerk-berlin.html,,,,,,,,,,,,,,,,2100.0,,1900.0,1800.0,
DE_MERCEDES_BREMEN,Germany,Mercedes-Benz,Mercedes-Benz Plant Bremen,Bremen,mercedes,https://group.mercedes-benz.com/unternehmen/standorte/produktionsnetzwerk-bremen.html,,,,,,,,,,,,,,,,,11500.0,11000.0,,11500.0
DE_MERCEDES_DUSSELDORF,Germany,Mercedes-Benz,Mercedes-Benz Plant Düsseldorf,Düsseldorf,mercedes,https://group.mercedes-benz.com/unternehmen/standorte/produktionsnetzwerk-duesseldorf.html,,,,,,,,,,,,,,,,5600.0,5500.0,5500.0,5000.0,
DE_MERCEDES_HAMBURG,Germany,Mercedes-Benz,Mercedes-Benz Plant Hamburg,Hamburg,mercedes,https://group.mercedes-benz.com/unternehmen/standorte/produktionsnetzwerk-hamburg.html,,,,,,,,,,,,,,,,2100.0,2100.0,2000.0,,
DE_MERCEDES_KAMENZ,Germany,Mercedes-Benz,"Accumotive GmbH & Co. KG, Kamenz",Kamenz,mercedes,https://group.mercedes-benz.com/unternehmen/standorte/produktionsnetzwerk-kamenz.html,,,,,,,,,,,,,,,,1200.0,1100.0,1000.0,980.0,
DE_MERCEDES_KOLLEDA,Germany,Mercedes-Benz,"MDC Power GmbH, Kölleda & Arnstadt",Kölleda,mercedes,https://group.mercedes-benz.com/unternehmen/standorte/produktionsnetzwerk-koelleda.html,,,,,,,,,,,,,,,,1300.0,1200.0,1200.0,,
DE_MERCEDES_LUDWIGSFELDE,Germany,Mercedes-Benz,Mercedes-Benz Plant Ludwigsfelde,Ludwigsfelde,mercedes,https://group.mercedes-benz.com/unternehmen/standorte/produktionsnetzwerk-ludwigsfelde.html,,,,,,,,,,,,,,,,2000.0,1800.0,1700.0,1600.0,
DE_MERCEDES_RASTATT,Germany,Mercedes-Benz,Mercedes-Benz Plant Rastatt,Rastatt,mercedes,https://group.mercedes-benz.com/unternehmen/standorte/produktionsnetzwerk-rastatt.html,,,,,,,,,,,,,,,,6100.0,6100.0,6000.0,6100.0,
DE_MERCEDES_SINDELFINGEN,Germany,Mercedes-Benz,Mercedes-Benz Plant Sindelfingen,Sindelfingen,mercedes,https://group.mercedes-benz.com/unternehmen/standorte/produktionsnetzwerk-sindelfingen.html,,28804.0,,,,,,,,,,,,,,35000.0,21500.0,20500.0,31500.0,
DE_MERCEDES_STUTTGART,Germany,Mercedes-Benz,Mercedes-Benz Plant Untertürkheim,Stuttgart,mercedes,https://group.mercedes-benz.com/unternehmen/standorte/produktionsnetzwerk-untertuerkheim.html,,,,,,,,,,,,,,,,14900.0,23000.0,,12500.0,
DE_PORSCHE_LEIPZIG,Germany,Volkswagen Group,Porsche Plant Leipzig,Leipzig,porsche,https://newsroom.porsche.com/en/company/leipzig.html,,,,,,,,,,4000.0,4600.0,,,,,,,,,
DE_PORSCHE_ZUFFENHAUSEN,Germany,Volkswagen Group,Porsche Plant Stuttgart-Zuffenhausen,Stuttgart,porsche,https://newsroom.porsche.com/en/company/stuttgart-zuffenhausen.html,,,,,,,,,,1200.0,,,1200.0,,,,,,,1000.0
DE_VW_BRUNSWICK,Germany,Volkswagen Group,Volkswagen Plant Brunswick,Brunswick,vw,https://www.volkswagen-newsroom.com/de/volkswagen-group-components-plant-brunswick-6741,,,,,,,,,,,7000.0,,,7100.0,7100.0,7400.0,,6300.0,,
DE_VW_CHEMNITZ,Germany,Volkswagen Group,Volkswagen Plant Chemnitz,Chemnitz,vw,https://www.volkswagen-newsroom.com/de/volkswagen-sachsen-gmbh-chemnitz-plant-6882,,,,,,,,,,,,1800.0,,1980.0,1850.0,1900.0,1900.0,1800.0,1800.0,
DE_VW_DRESDEN,Germany,Volkswagen Group,Volkswagen Plant Dresden,Dresden,vw,https://www.volkswagen-newsroom.com/de/volkswagen-sachsen-gmbh-glaeserne-manufaktur-the-transparent-factory-dresden-5906,,,,,,,,,,380.0,,,,400.0,340.0,340.0,340.0,320.0,,
DE_VW_EMDEN,Germany,Volkswagen Group,Volkswagen Plant Emden,Emden,vw,https://www.volkswagen-newsroom.com/de/volkswagen-ag-emden-plant-5913,,,,,,,,,,,,,6000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,
DE_VW_KASSEL,Germany,Volkswagen Group,Volkswagen Plant Kassel,Kassel,vw,https://www.volkswagen-newsroom.com/de/volkswagen-ag-kassel-plant-8026,,,,,,,,,,,,,16500.0,16500.0,,,16500.0,15500.0,15000.0,15000.0
DE_VW_OSNABRUECK,Germany,Volkswagen Group,Volkswagen Plant Osnabrück,Osnabrück,vw,https://www.volkswagen-newsroom.com/de/volkswagen-osnabrueck-gmbh-7805,,,,,,,,,,,,,,,,2300.0,,2300.0,,
DE_VW_SALZGITTER,Germany,Volkswagen Group,Volkswagen Plant Salzgitter,Salzgitter,vw,https://www.volkswagen-newsroom.com/de/volkswagen-ag-salzgitter-plant-6592,,,,,,,,,,,,,,7000.0,7000.0,7500.0,7500.0,7500.0,7500.0,
DE_VW_WOLFSBURG,Germany,Volkswagen Group,Volkswagen Plant Wolfsburg,Wolfsburg,vw,https://www.volkswagen-newsroom.com/de/wolfsburg-plant-the-heart-of-the-vw-brand-6811,,,,,,,,,,,62300.0,,,60000.0,,,70000.0,70000.0,,
DE_VW_ZWICKAU,Germany,Volkswagen Group,Volkswagen Plant Zwickau,Zwickau,vw,https://www.volkswagen-newsroom.com/de/volkswagen-sachsen-gmbh-zwickau-plant-5901,,,,,,,,,,,,7700.0,8000.0,8940.0,9000.0,,10700.0,10350.0,8000.0,
ES_VW_NAVARRA,Spain,Volkswagen Group,Volkswagen Navarra Plant Pamplona,Pamplona,vw,https://www.volkswagen-newsroom.com/en/volkswagen-navarra-sa-3733,,,,,,,,,,,,,,,4601.0,4526.0,,4622.0,4865.0,
HU_AUDI_GYOR,Hungary,Volkswagen Group,Audi Hungaria Plant Győr,Győr,audi,https://www.audi-mediacenter.com/en/audi-at-the-hungary-site-gyor-5570,,5899.0,,,380.0,,10000.0,,11411.0,11631.0,700.0,13084.0,,,,11957.0,11663.0,11431.0,,
HU_BMW_DEBRECEN,Hungary,BMW Group,BMW Group Plant Debrecen,Debrecen,bmw,https://www.bmwgroup-werke.com/debrecen/en.html,,,,,,,,,7800.0,,,,,,,,,,6000.0,
HU_MERCEDES_KECSKEMET,Hungary,Mercedes-Benz,Mercedes-Benz Manufacturing Hungary Plant Kecskemét,Kecskemét,mercedes,https://group.mercedes-benz.com/company/locations/production-network-kecskemet.html,,,,,,3000.0,,,,,4000.0,2500.0,,,,4400.0,4500.0,4500.0,4500.0,
PT_VW_PALMELA,Portugal,Volkswagen Group,Volkswagen AutoEuropa Plant Palmela,Palmela,vw,https://www.volkswagen-newsroom.com/en/volkswagen-autoeuropa-lda-3731,,,,,,,,,,,,,,,5124.0,4980.0,,,4842.0,
SK_VW_BRATISLAVA,Slovakia,Volkswagen Group,Volkswagen Slovakia Plant Bratislava,Bratislava,vw,https://www.volkswagen-newsroom.com/en/volkswagen-slovakia-a-s-3740,,,,,,,,9400.0,9400.0,9400.0,12300.0,14100.0,,11500.0,,11000.0,,,,11500.0
